Bin_ID,ELectoral_Area,Bin_Type,Irish_X,Irish_Y
WMS4505,MERCHANTS QUAY C,Cast Iron,314303.38013530854,233302.39671088353
WMS1274,NORTH DOCK C,Bigbelly Bin,317192.6717763621,234550.45011254682
WMS2858,BALLYBOUGH A,Class B,317009.5630166289,235922.63001075436
WMS4020,BALLYGALL A,Cast Iron,313165.084246833,239008.82255326823
WMS1641,DRUMCONDRA SOUTH B,Dog Bin,316429.9767588855,236106.0629880075
WMS3512,BALLYMUN C,Class B,316031.7917139322,239307.20113879046
WMS5177,BALLYMUN E,Class B,314908.306522676,239325.4316187845
WMS4029,KILMORE A,Cast Iron,317707.9027625334,240300.30329278167
WMS1832,ROYAL EXCHANGE A,Class A,315386.0752166356,234015.23095764246
WMS1177,SAINT KEVIN'S,Class A,316126.3324802469,233155.35167179778
WMS0224,NORTH CITY,Class A,315897.7413122092,234746.0082484666
WMS5200,RAHENY-St. ASSAM,Class B,322376.4207672543,238223.6737736419
WMS1791,CLONTARF EAST A,Bigbelly Bin,321343.0925573894,238194.18776061886
WMS3850,CHAPELIZOD,Class B,310133.34870049753,233718.90218127356
WMS3688,BALLYGALL B,Class B,313771.3926857658,238769.1276967368
WMS0535,KIMMAGE C,Class A,313935.7780043031,231288.14382928345
WMS2754,CABRA EAST B,Class B,314296.2154930263,235893.20545769428
WMS0469,ROYAL EXCHANGE A,Class A,315486.092468164,234005.0795063134
WMS0179,NORTH CITY,Class A,316046.50085206935,234552.64951303214
WMS2302,KILMORE A,Class B,317819.0166065738,239766.7331392827
WMS4562,CARNA,Cast Iron,309241.6239382619,233725.18805598022
WMS4606,RATHMINES EAST A,Cast Iron,316212.6060357011,232481.6685358966
WMS1992,CLONTARF EAST D,Class A,318959.3929332249,235946.692380234
WMS1753,MANSION HOUSE B,Class A,315982.94989511336,233917.5331994241
WMS3061,PEMBROKE WEST B,Class B,317626.5595616058,232766.2679169529
WMS3719,CABRA EAST C,Class B,313936.16457346984,235900.61774415823
WMS4233,MOUNTJOY B,Cast Iron,316554.28441145393,235481.3439063486
WMS0124,MOUNTJOY A,Class A,316468.431811627,234920.3234206798
WMS3039,PEMBROKE EAST A,Class B,318438.0118289624,233482.0191001465
WMS5010,CLONTARF EAST D,Class B,318920.3728193205,236009.52960273187
WMS2517,CLONTARF WEST A,Class B,319598.05486496515,237526.98483398018
WMS3951,GRACE PARK,Class B,317304.9860209157,237884.53263226838
WMS3893,PEMBROKE EAST E,Class B,318522.0073174626,231936.1840694138
WMS2267,BEAUMONT B,Class B,317820.09374529903,238715.27320170266
WMS0505,MERCHANTS QUAY E,Class A,314744.654501389,232632.7571619767
WMS3888,WOOD QUAY B,Class B,315040.986132009,232697.5107534516
WMS3334,WALKINSTOWN B,Class B,311171.22571264184,231001.27969380846
WMS1I881,BALLYMUN C,Class A,315541.3256743413,239841.9939183486
WMS2081,BALLYMUN F,Class B,314408.5676947383,239663.0157260244
WMS5015,CLONTARF EAST B,Class B,321659.80757580634,236758.43348055307
WMS4391,SOUTH DOCK,Cast Iron,317034.87420317356,233469.05635678893
WMS1721,BOTANIC A,Bigbelly Bin,315245.6254353217,237124.246425
WMS1644,BALLYGALL D,Dog Bin,314446.6454211611,238121.49329374835
WMS4230,MOUNTJOY B,Cast Iron,316266.3939886833,235280.09544691103
WMS4561,DRUMFINN,Cast Iron,309393.9771250299,233723.26741195348
WMS2176,BALLYMUN B,Class B,314465.40134008665,240454.15536781435
WMS3870,PEMBROKE WEST A,Class B,317420.88645328465,233429.9369332295
WMS4154,NORTH DOCK A,Cast Iron,317484.0075557219,235739.0349820453
WMS3738,CRUMLIN C,Class B,314094.2538358246,232473.22389019866
WMS3713,BALLYMUN C,Class B,315779.6612083181,239680.95466118073
WMS4718,CHAPELIZOD,Cast Iron,310296.7392989648,234355.66104740056
WMS2725,CABRA WEST C,Class B,313399.4496194579,235927.56378449433
WMS5289,BALLYBOUGH A,Class B,317249.2578700275,235868.5604123305
WMS5198,GRANGE A,Class B,321293.7701183411,240657.63173712022
WMS3914,BEAUMONT E,Class B,318217.2794457296,237878.62167068134
WMS3232,RATHMINES WEST F,Class B,315364.9377741049,231557.70829508288
WMS3413,KILMAINHAM B,Class B,311680.26057624264,233609.0506125594
WMS1579,MOUNTJOY A,Bigbelly Bin,316408.1549290059,234813.0371197824
WMS1444,SAINT KEVIN'S,Class A,315594.70259041275,233129.71055473687
WMS2865,INNS QUAY A,Class B,315333.73308856133,235839.2393065855
WMS1869,NORTH CITY,Bigbelly Bin,316075.18415785016,234726.3443890337
WMS0703,SAINT KEVIN'S,Class A,315759.33781623165,232972.49949373657
WMS2511,CLONTARF EAST A,Class B,320315.6368898985,237673.42334315687
WMS1073,CLONTARF WEST B,Bigbelly Bin,318676.1116520803,237536.62842416472
WMS0849,MANSION HOUSE A,Class A,316890.74922335276,233992.11339427606
WMS3794,FINGLAS SOUTH A,Class B,312322.01038961334,238544.7111003836
WMS3829,EDENMORE,Class B,320706.9940118658,239192.0578346372
WMS5321,BALLYGALL D,Class B,314746.9519956054,238217.94507700624
WMS1577,MOUNTJOY A,Bigbelly Bin,316443.6006798822,234835.09734817958
WMS0045,ROTUNDA A,Class A,316093.77816884744,235154.06380054122
WMS0829,MANSION HOUSE A,Class A,316058.07661502715,234282.15309509245
WMS1660,BALLYMUN B,Dog Bin,315160.58794935356,240292.46644547876
WMS1430,NORTH CITY,Class A,315771.68231096084,234675.71293746156
WMS2838,GRANGE D,Class B,321473.7260703184,238486.6748904233
WMS5051,WHITEHALL D,Class B,316605.38371415355,237736.96892425464
WMS3326,CRUMLIN D,Class B,313320.29008067143,232357.51467096608
WMS3960,HARMONSTOWN A,Class B,319760.950862124,238565.32166823352
WMS1382,BOTANIC C,Bigbelly Bin,315097.78764565993,236291.62255235435
WMS4040,BEAUMONT B,Cast Iron,318309.61294168734,238629.27140256538
WMS1448,INNS QUAY C,Class A,315017.5058694086,234695.04909838625
WMS1889,SAINT KEVIN'S,Class A,315652.9520875989,232739.0287015905
WMS1970,ROYAL EXCHANGE B,Class A,315948.96643526864,233818.63231598298
WMS3664,FINGLAS NORTH B,Class B,312511.7843026669,239699.0583224072
WMS3501,CABRA EAST A,Class B,314777.30670912686,235991.8633982319
WMS5275,TERENURE B,Class B,314513.5892265334,230707.4271718035
WMS2983,SAINT KEVIN'S,Class B,315447.34203250764,232598.8439000335
WMS1845,DRUMCONDRA SOUTH C,Class B,315974.68198926863,236920.22185366435
WMS4209,MOUNTJOY B,Cast Iron,316076.0215055912,235542.25881559507
WMS1938,ASHTOWN A,Dog Bin,311713.822459445,237083.6511947635
WMS0142,PEMBROKE EAST D,Class A,319006.61542280414,231194.2637275303
WMS4188,ARRAN QUAY B,Cast Iron,314401.8936609889,234801.3277317711
WMS5266,CLONTARF WEST C,Class B,319038.2235263282,236787.31434531836
WMS0555,ROYAL EXCHANGE A,Class A,315648.85576937825,234021.52970152677
WMS3516,CABRA EAST A,Class B,313658.80653108086,237255.23671741167
WMS0105,NORTH CITY,Class A,316316.73542938207,234702.12011506068
WMS4370,SOUTH DOCK,Cast Iron,316945.87805498415,233017.50828997648
WMS0717,SAINT KEVIN'S,Class A,315602.46732370305,233059.99403643227
WMS1441,CLONTARF EAST B,Bigbelly Bin,320941.2458458379,236458.6984470242
WMS0416,NORTH CITY,Class A,315945.105582376,234941.4104808935
WMS1750,ASHTOWN B,Bigbelly Bin,311173.36369011446,236982.50825374466
WMS0035,ROTUNDA A,Class A,315958.7008490271,235079.49142460155
WMS3528,WHITEHALL B,Class B,316832.1582973656,238931.36076925602
WMS3922,DRUMCONDRA SOUTH C,Class B,316209.9968408726,236828.62076087052
WMS3723,PEMBROKE WEST A,Class B,317756.8431623597,233311.19699441566
WMS1033,NORTH CITY,Class A,315992.4089007918,234908.82110478118
WMS0051,CLONTARF EAST B,Class A,320553.43486031727,235716.92860829516
WMS0096,INNS QUAY B,Class A,315613.0518843727,235481.18984044032
WMS1365,CLONTARF EAST D,Bigbelly Bin,319519.5861098345,237125.5868127671
WMS0071,ARRAN QUAY D,Class A,313592.72253913037,234450.97095072264
WMS4219,ROTUNDA A,Cast Iron,315688.2136734638,235213.78640767213
WMS0217,NORTH CITY,Class A,315949.02770331956,234560.42219408578
WMS4115,GRACE PARK,Cast Iron,317496.09951692156,237463.5922277587
WMS0683,MANSION HOUSE B,Class A,316116.9734771088,233183.91873982042
WMS1317,WHITEHALL C,Class A,316731.66499331733,239572.7737912864
WMS4092,MOUNTJOY A,Cast Iron,316635.9597929804,235217.75621868792
WMS3904,WHITEHALL C,Class B,316814.68774881965,240036.46107021312
WMS2966,PEMBROKE WEST A,Class B,317517.8419423908,233574.21895708214
WMS5312,KIMMAGE C,Class B,313979.1399528892,231263.78059781523
WMS1354,BALLYMUN D,Bigbelly Bin,315503.6656557737,239124.15406724956
WMS1009,ROTUNDA B,Class A,315794.477218108,234974.4372452305
WMS4354,SAINT KEVIN'S,Cast Iron,316079.4324502535,233006.0894590255
WMS3579,BEAUMONT D,Class B,318515.7936849322,238361.0212462441
WMS1142,ROYAL EXCHANGE A,Bigbelly Bin,315876.152364035,234297.37395749002
WMS1557,NORTH CITY,Class A,315716.6901533151,234328.72795501887
WMS0108,MOUNTJOY A,Class A,316357.67602473206,234658.69771545214
WMS1110,NORTH CITY,Bigbelly Bin,315436.62830910576,234238.7803004023
WMS1344,WALKINSTOWN C,Bigbelly Bin,312247.0519105615,231311.65841858202
WMS3900,PEMBROKE EAST B,Class B,318463.3896039777,233294.63884766388
WMS0315,NORTH CITY,Class A,315367.4238086488,234426.97168062464
WMS3847,INCHICORE A,Class B,311713.66350877605,233216.32070795185
WMS0101,INNS QUAY A,Class A,315888.96827257075,235950.1029987016
WMS3536,PEMBROKE WEST B,Class B,317774.4447838697,231435.1634037537
WMS1657,BALLYGALL A,Dog Bin,313696.1461764946,238435.89850815828
WMS3950,ASHTOWN A,Class B,311039.90821187466,237356.96434668923
WMS4327,MANSION HOUSE B,Cast Iron,316375.7686816238,233369.9545000529
WMS3666,FINGLAS NORTH A,Class B,312146.528163836,239041.81705794626
WMS2250,KILMORE A,Class B,317742.8831043112,240060.74165756587
WMS3759,KIMMAGE C,Class B,314674.33375212416,231795.39506984514
WMS5174,FINGLAS SOUTH A,Class B,312310.4798548616,238564.37959128816
WMS2726,CABRA EAST A,Class B,315045.5065131373,235954.45378695137
WMS0562,ROYAL EXCHANGE A,Class A,315612.12827933114,233794.78239675707
WMS0338,ROTUNDA B,Class A,315363.0387373817,234683.04453526004
WMS3523,ARRAN QUAY A,Class B,314948.3886035184,235864.54286722228
WMS1173,RATHMINES EAST D,Bigbelly Bin,316300.9160025495,231940.51085645732
WMS4439,PEMBROKE EAST B,Cast Iron,318931.37395551236,232826.9703740056
WMS5037,CLONTARF EAST E,Class B,320033.2586755409,237577.17965771392
WMS5052,WHITEHALL A,Class B,316521.56470207055,237643.5779573008
WMS1995,CLONTARF EAST C,Class A,320107.61843733484,235763.27694820383
WMS3833,GRANGE C,Class B,322212.697071299,239405.46794184478
WMS0139,BALLYMUN C,Class A,315634.32444793626,239935.63732766046
